date,World,China,Iran,Italy,South Africa,United Kingdom,United States
31/12/2019,27,27,0,0,0,0,0
01/01/2020,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0
03/01/2020,17,17,0,0,0,0,0
04/01/2020,0,0,0,0,0,0,0
05/01/2020,15,15,0,0,0,0,0
06/01/2020,0,0,0,0,0,0,0
07/01/2020,0,0,0,0,0,0,0
08/01/2020,0,0,0,0,0,0,0
09/01/2020,0,0,0,0,0,0,0
10/01/2020,0,0,0,0,0,0,0
11/01/2020,0,0,0,0,0,0,0
12/01/2020,0,0,0,0,0,0,0
13/01/2020,1,0,0,0,0,0,0
14/01/2020,0,0,0,0,0,0,0
15/01/2020,1,0,0,0,0,0,0
16/01/2020,0,0,0,0,0,0,0
17/01/2020,5,4,0,0,0,0,0
18/01/2020,17,17,0,0,0,0,0
19/01/2020,136,136,0,0,0,0,0
20/01/2020,20,19,0,0,0,0,0
21/01/2020,153,151,0,0,0,0,1
22/01/2020,142,140,0,0,0,0,0
23/01/2020,97,97,0,0,0,0,0
24/01/2020,266,259,0,0,0,0,0
25/01/2020,453,441,0,0,0,0,1
26/01/2020,673,665,0,0,0,0,0
27/01/2020,797,787,0,0,0,0,3
28/01/2020,1767,1753,0,0,0,0,0
29/01/2020,1480,1466,0,0,0,0,0
30/01/2020,1756,1740,0,0,0,0,0
31/01/2020,2003,1980,0,3,0,2,1
01/02/2020,2120,2095,0,0,0,0,1
02/02/2020,2608,2590,0,0,0,0,1
03/02/2020,2818,2812,0,0,0,0,3
04/02/2020,3243,3237,0,0,0,0,0
05/02/2020,3907,3872,0,0,0,0,0
06/02/2020,3751,3727,0,0,0,0,1
07/02/2020,3218,3160,0,0,0,1,0
08/02/2020,3442,3418,0,0,0,0,0
09/02/2020,2619,2607,0,0,0,1,0
10/02/2020,2988,2974,0,0,0,0,0
11/02/2020,2565,2490,0,0,0,4,1
12/02/2020,2072,2028,0,0,0,0,0
13/02/2020,15151,15141,0,0,0,1,1
14/02/2020,4215,4156,0,0,0,0,1
15/02/2020,2560,2538,0,0,0,0,0
16/02/2020,2162,2007,0,0,0,0,0
17/02/2020,2067,2052,0,0,0,0,0
18/02/2020,1995,1890,0,0,0,0,0
19/02/2020,1864,1750,0,0,0,0,0
20/02/2020,532,394,2,0,0,0,0
21/02/2020,996,891,3,0,0,0,1
22/02/2020,1085,826,13,14,0,0,19
23/02/2020,1008,647,10,62,0,0,0
24/02/2020,527,218,15,53,0,4,0
25/02/2020,793,515,18,97,0,0,18
26/02/2020,863,410,34,93,0,0,0
27/02/2020,1106,439,44,78,0,0,6
28/02/2020,1264,329,106,250,0,3,1
29/02/2020,1838,428,143,238,0,2,6
01/03/2020,1821,574,205,240,0,5,3
02/03/2020,2044,205,385,561,0,13,20
03/03/2020,1595,127,523,146,0,4,14
04/03/2020,2413,119,835,667,0,11,22
05/03/2020,2239,117,586,587,0,34,34
06/03/2020,2856,170,591,769,1,30,74
07/03/2020,3961,101,1234,778,0,48,105
08/03/2020,3691,46,1076,1247,1,43,95
09/03/2020,3871,45,743,1492,1,67,121
10/03/2020,4537,20,595,1797,4,48,200
11/03/2020,4378,29,881,977,0,52,271
12/03/2020,6887,24,958,2313,6,83,287
13/03/2020,8352,22,1075,2651,4,134,351
14/03/2020,9375,19,1289,2547,7,117,511
15/03/2020,8140,22,1365,90,0,433,777
16/03/2020,16051,25,1209,6230,27,251,823
17/03/2020,12745,110,1053,4000,11,152,887
18/03/2020,14750,33,1178,3526,23,407,1766
19/03/2020,18345,75,1192,4207,31,680,2988
20/03/2020,29219,99,1046,5322,34,647,4835
21/03/2020,28755,79,1237,5986,55,706,5374
22/03/2020,34047,83,966,6557,35,1035,7123
23/03/2020,33032,150,1028,5560,34,665,8459
