date,World,China,Iran,Italy,South Africa,South Korea,Spain,United Kingdom,United States
31/12/2019,27,27,0,0,0,0,0,0,0
01/01/2020,27,27,0,0,0,0,0,0,0
02/01/2020,27,27,0,0,0,0,0,0,0
03/01/2020,44,44,0,0,0,0,0,0,0
04/01/2020,44,44,0,0,0,0,0,0,0
05/01/2020,59,59,0,0,0,0,0,0,0
06/01/2020,59,59,0,0,0,0,0,0,0
07/01/2020,59,59,0,0,0,0,0,0,0
08/01/2020,59,59,0,0,0,0,0,0,0
09/01/2020,59,59,0,0,0,0,0,0,0
10/01/2020,59,59,0,0,0,0,0,0,0
11/01/2020,59,59,0,0,0,0,0,0,0
12/01/2020,59,59,0,0,0,0,0,0,0
13/01/2020,60,59,0,0,0,0,0,0,0
14/01/2020,60,59,0,0,0,0,0,0,0
15/01/2020,61,59,0,0,0,0,0,0,0
16/01/2020,61,59,0,0,0,0,0,0,0
17/01/2020,66,63,0,0,0,0,0,0,0
18/01/2020,83,80,0,0,0,0,0,0,0
19/01/2020,219,216,0,0,0,0,0,0,0
20/01/2020,239,235,0,0,0,1,0,0,0
21/01/2020,392,386,0,0,0,1,0,0,1
22/01/2020,534,526,0,0,0,1,0,0,1
23/01/2020,631,623,0,0,0,1,0,0,1
24/01/2020,897,882,0,0,0,2,0,0,1
25/01/2020,1350,1323,0,0,0,2,0,0,2
26/01/2020,2023,1988,0,0,0,3,0,0,2
27/01/2020,2820,2775,0,0,0,4,0,0,5
28/01/2020,4587,4528,0,0,0,4,0,0,5
29/01/2020,6067,5994,0,0,0,4,0,0,5
30/01/2020,7823,7734,0,0,0,4,0,0,5
31/01/2020,9826,9714,0,3,0,7,0,2,6
01/02/2020,11946,11809,0,3,0,12,1,2,7
02/02/2020,14554,14399,0,3,0,15,1,2,8
03/02/2020,17372,17211,0,3,0,15,1,2,11
04/02/2020,20615,20448,0,3,0,16,1,2,11
05/02/2020,24522,24320,0,3,0,18,1,2,11
06/02/2020,28273,28047,0,3,0,23,1,2,12
07/02/2020,31491,31207,0,3,0,24,1,3,12
08/02/2020,34933,34625,0,3,0,24,1,3,12
09/02/2020,37552,37232,0,3,0,25,1,4,12
10/02/2020,40540,40206,0,3,0,27,2,4,12
11/02/2020,43105,42696,0,3,0,28,2,8,13
12/02/2020,45177,44724,0,3,0,28,2,8,13
13/02/2020,60328,59865,0,3,0,28,2,9,14
14/02/2020,64543,64021,0,3,0,28,2,9,15
15/02/2020,67103,66559,0,3,0,28,2,9,15
16/02/2020,69265,68566,0,3,0,29,2,9,15
17/02/2020,71332,70618,0,3,0,30,2,9,15
18/02/2020,73327,72508,0,3,0,31,2,9,15
19/02/2020,75191,74258,0,3,0,46,2,9,15
20/02/2020,75723,74652,2,3,0,80,2,9,15
21/02/2020,76719,75543,5,3,0,155,2,9,16
22/02/2020,77804,76369,18,17,0,345,2,9,35
23/02/2020,78812,77016,28,79,0,601,2,9,35
24/02/2020,79339,77234,43,132,0,762,2,13,35
25/02/2020,80132,77749,61,229,0,892,3,13,53
26/02/2020,80995,78159,95,322,0,1146,7,13,53
27/02/2020,82101,78598,139,400,0,1595,12,13,59
28/02/2020,83365,78927,245,650,0,2022,25,16,60
29/02/2020,85203,79355,388,888,0,2931,34,18,66
01/03/2020,87024,79929,593,1128,0,3526,66,23,69
02/03/2020,89068,80134,978,1689,0,4212,83,36,89
03/03/2020,90663,80261,1501,1835,0,4812,114,40,103
04/03/2020,93076,80380,2336,2502,0,5328,151,51,125
05/03/2020,95315,80497,2922,3089,0,5766,200,85,159
06/03/2020,98171,80667,3513,3858,1,6284,261,115,233
07/03/2020,102132,80768,4747,4636,1,6767,374,163,338
08/03/2020,105823,80814,5823,5883,2,7134,430,206,433
09/03/2020,109694,80859,6566,7375,3,7382,589,273,554
10/03/2020,114231,80879,7161,9172,7,7513,1204,321,754
11/03/2020,118609,80908,8042,10149,7,7755,1639,373,1025
12/03/2020,125496,80932,9000,12462,13,7869,2140,456,1312
13/03/2020,133848,80954,10075,15113,17,7979,3004,590,1663
14/03/2020,143223,80973,11364,17660,24,8086,4231,707,2174
15/03/2020,151363,80995,12729,17750,24,8162,5753,1140,2951
16/03/2020,167414,81020,13938,23980,51,8236,7753,1391,3774
17/03/2020,180159,81130,14991,27980,62,8320,9191,1543,4661
18/03/2020,194909,81163,16169,31506,85,8413,11178,1950,6427
19/03/2020,213254,81238,17361,35713,116,8565,13716,2630,9415
20/03/2020,242473,81337,18407,41035,150,8652,17147,3277,14250
21/03/2020,271228,81416,19644,47021,205,8799,19980,3983,19624
22/03/2020,305275,81499,20610,53578,240,8897,24926,5018,26747
23/03/2020,338307,81649,21638,59138,274,8961,28572,5683,35206
24/03/2020,382644,81553,23049,63927,402,9037,35136,6726,46450
